,Unnamed: 0,mta_sort_order,planned_ada_complex_id,planned_ada_station_name,planned_ada_complex_latitude,planned_ada_complex_longitude,existing_ada_complex_id,existing_ada_stop_name,existing_ada_complex_latitude,existing_ada_complex_longitude,walking_time_sec,train_time_sec,
0,0,6,287,Flushing Av / Crosstown (G line),40.7,-73.95,629,Metropolitan Av/Lorimer St (G),40.714,-73.95,1419,751,
1,1,3,90,"Van Siclen Av / Jamaica (J, Z lines)",40.678,-73.892,98,Flushing Av,40.7,-73.941,4219,1279,
2,2,15,354,"Sterling St / Nostrand (2, 5 lines)",40.663,-73.951,356,Church Av,40.651,-73.95,1158,334,
3,3,12,266,"Elmhurst Av / Queens Boulevard ( M, R lines)",40.742,-73.882,616,Jackson Heights/Roosevelt Av,40.747,-73.891,884,373,
4,4,6,287,Flushing Av / Crosstown (G line),40.7,-73.95,240,7 Av (G),40.666,-73.98,4516,1666,
5,5,15,354,"Sterling St / Nostrand (2, 5 lines)",40.663,-73.951,341,Eastern Parkway/Brooklyn Museum,40.672,-73.964,1442,953,
6,6,12,266,"Elmhurst Av / Queens Boulevard ( M, R lines)",40.742,-73.882,,,,,,,
7,7,3,90,"Van Siclen Av / Jamaica (J, Z lines)",40.678,-73.892,,,,,,,
8,8,11,353,"President St / Nostrand ( 2 ,5 lines)",40.668,-73.951,356,Church Av,40.651,-73.95,1624,391,
9,9,24,432,"Prospect Av / White Plains Road (2, 5 lines)",40.82,-73.902,434,3 Av - 149 St.,40.816,-73.918,1221,620,
10,10,24,432,"Prospect Av / White Plains Road (2, 5 lines)",40.82,-73.902,430,Simpson St.,40.824,-73.893,745,526,
11,11,11,353,"President St / Nostrand ( 2 ,5 lines)",40.668,-73.951,341,Eastern Parkway/Brooklyn Museum,40.672,-73.964,1060,754,
12,12,20,207,Beach 36 St / Far Rockaway (A line),40.595,-73.768,209,Far Rockaway Mott Av.,40.604,-73.755,1467,1212,
13,13,21,200,"Beach 90 St / Rockaway (A, S lines)",40.588,-73.814,204,Beach 67 St,40.591,-73.797,1223,2183,Error
14,14,20,207,Beach 36 St / Far Rockaway (A line),40.595,-73.768,204,Beach 67 St,40.591,-73.797,2086,695,
15,15,14,347,Saratoga Av / New Lots (3 line),40.661,-73.916,345,Crown Heights/Utica,40.669,-73.933,1648,761,
16,16,13,154,"116 St / Eighth Avenue ( B, C lines)",40.805,-73.955,614,59 St Columbus Circle,40.768,-73.982,3674,771,
17,17,10,343,Nostrand Av / Eastern Parkway (3 line),40.67,-73.95,345,Crown Heights/Utica Ave,40.669,-73.933,1160,857,
